Verb (Lemma),Preposition
sell,DEF
don,after
date,DEF
cede,DEF
finish,DEF
change,DEF
enact,as
announce,on
embed,in
issue,to
climb,DEF
specialise,in
indicate,DEF
pay,DEF
lose,to
resign,DEF
state,DEF
nominate,for
consist,of
recall,DEF
consist,of
cover,DEF
give,in
show,DEF
rank,DEF
capture,DEF
grow,vs.
direct,DEF
direct,DEF
act,as
commemorate,DEF
leave,off
regain,DEF
overcome,DEF
celebrate,as
restructure,in
announce,DEF
invite,DEF
hint,at
settle,in
return,DEF
involve,DEF
overlook,DEF
read,as
consider,DEF
overlay,with
compile,DEF
bring,DEF
characterize,DEF
occur,at
acquire,in
achieve,DEF
connect,DEF
evolve,from
sit,in
guarantee,DEF
stop,DEF
order,DEF
excel,in
defeat,DEF
file,for
maintain,DEF
acquire,DEF
lay,in
absorb,DEF
meet,in
show,DEF
vote,via
travel,in
perform,in
commence,DEF
give,DEF
consider,DEF
regard,as
score,DEF
consist,of
provide,DEF
announce,in
contribute,to
enlist,DEF
sung,at
chair,DEF
purchase,DEF
induct,into
reform,as
distinguish,DEF
experiment,with
lead,to
twine,around
finish,DEF
specialise,in
send,in
author,over
consist,of
reach,DEF
offer,DEF
follow,DEF
enjoy,DEF
qualify,for
rely,DEF
disagree,DEF
transfer,DEF
pitch,DEF
teach,at
theme,along
marble,DEF
serialize,in
lead,DEF
surround,DEF
discover,DEF
gain,DEF
occupy,DEF
bring,DEF
finish,at
commence,with
transfer,to
provide,DEF
educate,at
finish,DEF
read,DEF
adapt,DEF
preserve,DEF
immigrate,to
affect,DEF
 ,DEF
celebrate,DEF
obtain,DEF
send,DEF
grow,DEF
theorize,from
supply,as
exhibit,in
compile,DEF
honor,DEF
inscribe,on
depict,DEF
abolish,DEF
University,as
oppose,to
obtain,DEF
recount,DEF
contest,at
treat,in
ban,DEF
transfer,DEF
spend,DEF
consist,of
follow,DEF
connect,DEF
remain,for
meet,DEF
detail,DEF
reexamine,DEF
intend,DEF
recognise,DEF
rank,in
stage,DEF
sign,as
discover,DEF
give,DEF
perform,DEF
add,to
premiere,on
lead,DEF
last,on
conduct,DEF
sign,DEF
constitute,DEF
 ,in
remove,DEF
share,DEF
premiere,on
attain,DEF
sit,DEF
achieve,over
spend,on
lose,DEF
discover,in
direct,DEF
meet,DEF
check,DEF
issue,in
claim,DEF
interrupt,DEF
headquarter,in
suggest,on
revolve,around
demolish,in
select,for
finish,DEF
finish,DEF
announce,DEF
deploy,on
display,DEF
earn,DEF
hamper,DEF
feel,DEF
conclude,in
convert,to
seat,DEF
comprise,DEF
exist,from
endow,with
appoint,in
recommend,DEF
illustrate,DEF
centralize,DEF
lead,DEF
volunteer,for
emigrate,to
feed,on
celebrate,on
bring,DEF
house,between
resettle,DEF
date,from
incorporate,DEF
provide,DEF
show,DEF
participate,at
depend,on
think,DEF
expand,over
umpire,DEF
gain,DEF
choose,DEF
grow,DEF
suspend,DEF
crash,on
change,into
conclude,with
devote,DEF
detail,DEF
act,as
complicate,DEF
retain,DEF
gain,DEF
retire,to
enter,DEF
disenfranchise,in
mirror,DEF
think,in
lead,DEF
burn,to
give,DEF
join,DEF
join,DEF
transfer,DEF
emigrate,DEF
give,DEF
translate,as
convert,DEF
leave,DEF
give,DEF
declare,in
capture,DEF
state,DEF
on,as
give,DEF
wedge,between
contest,over
train,at
focus,on
murder,DEF
oversee,DEF
cover,DEF
consist,of
note,DEF
incorporate,DEF
tell,of
follow,DEF
shift,in
exceed,below
head,DEF
detail,DEF
contest,at
consist,of
related,with
lead,DEF
retire,from
initiate,in
collect,from
classify,DEF
lose,DEF
center,on
meet,in
direct,with
introduce,DEF
assist,DEF
sew,DEF
cover,DEF
blend,DEF
cleave,DEF
acquire,DEF
coat,DEF
reach,DEF
relegate,to
retreat,at
recede,from
carve,in
rename,in
gain,DEF
episode,of
last,from
want,DEF
lead,to
start,DEF
honor,DEF
train,under
honor,as
execute,DEF
do,DEF
diagnose,with
change,to
offer,DEF
destroy,DEF
upset,DEF
meet,with
see,DEF
cover,DEF
rely,on
preserve,DEF
stretch,along
occur,in
incorporate,DEF
reserve,in
wasa,DEF
offer,DEF
collaborate,with
purchase,DEF
associate,DEF
steal,over
detain,as
delist,in
halt,DEF
follow,DEF
accompany,DEF
cause,DEF
participate,at
 ,DEF
appoint,to
nominate,DEF
add,DEF
intend,as
expel,from
finish,DEF
discover,DEF
participate,in
assault,DEF
absorb,into
introduce,DEF
say,DEF
preserve,DEF
participate,in
start,DEF
beat,DEF
put,on
enter,in
consider,as
elevate,DEF
interview,for
vary,between
provide,DEF
provide,DEF
sign,for
insert,between
recognize,DEF
facilitate,DEF
peak,at
claim,DEF
constitute,DEF
comprise,DEF
retain,DEF
bound,DEF
oppose,DEF
assign,DEF
incorporate,DEF
reach,DEF
govern,DEF
target,DEF
drain,DEF
provide,DEF
join,DEF
attach,to
reach,DEF
introduce,in
announce,on
give,DEF
lead,DEF
claim,DEF
converge,DEF
adapt,from
transfer,to
consist,of
remember,as
spark,DEF
introduce,on
market,DEF
captain,DEF
paint,on
dub,DEF
place,DEF
threaten,DEF
migrate,from
follow,DEF
rank,in
gain,DEF
teach,in
consider,DEF
provide,DEF
provide,DEF
last,until
expand,DEF
deny,DEF
participate,in
turn,to
derive,from
.,DEF
qualify,to
contribute,DEF
participate,at
incorporate,DEF
pay,DEF
rule,from
fit,in
convert,into
contribute,with
premiere,at
remain,under
consist,of
pioneer,DEF
announce,on
start,on
reach,DEF
involve,in
adapt,for
consist,of
specialise,in
appoint,in
place,on
note,for
channelize,for
involve,DEF
teach,at
give,DEF
provide,DEF
arise,DEF
extend,to
authorize,in
join,DEF
finish,DEF
surround,DEF
break,DEF
replace,DEF
commence,on
wear,on
perform,DEF
fly,DEF
display,at
head,to
MP,for
join,as
finish,DEF
enter,DEF
carry,DEF
deal,with
extend,at
perform,at
act,as
start,DEF
mark,in
announce,in
restore,DEF
assume,DEF
cover,DEF
get,DEF
provide,DEF
put,on
fulfill,DEF
carry,DEF
organize,around
transfer,DEF
draw,DEF
garrison,DEF
appoint,in
grant,DEF
share,DEF
lay,at
feed,on
oversee,DEF
start,over
replace,DEF
introduce,DEF
introduce,DEF
appoint,DEF
conceive,as
reach,DEF
see,DEF
incorporate,DEF
start,in
bound,on
sign,DEF
earn,DEF
present,DEF
cover,DEF
replace,DEF
bowl,DEF
generalize,DEF
prefer,DEF
inaugurate,on
offer,DEF
increase,to
cancel,DEF
nominate,for
send,DEF
inspire,DEF
educate,at
organise,DEF
introduce,DEF
offer,DEF
